1724350498.431077,0.000000,-2.260853,0.327601,0.324118,-0.006688,0.008912,-0.743807,0.668302,
1724350498.436637,0.000000,-2.261025,0.327205,0.324155,-0.006815,0.008838,-0.742925,0.669282,
1724350498.442189,0.000000,-2.261168,0.326789,0.324205,-0.006985,0.008788,-0.741973,0.670335,
1724350498.447742,0.000000,-2.261396,0.326383,0.324239,-0.006891,0.008617,-0.741051,0.671358,
1724350498.453302,0.000000,-2.261492,0.325844,0.324241,-0.006959,0.008898,-0.740187,0.672306,
1724350498.458853,0.000000,-2.261591,0.325288,0.324252,-0.007026,0.009096,-0.739218,0.673369,
1724350498.464417,0.000000,-2.261816,0.324782,0.324263,-0.006995,0.009053,-0.738323,0.674350,
1724350498.469967,0.000000,-2.262143,0.324291,0.324262,-0.006922,0.008815,-0.737503,0.675250,
1724350498.475523,0.000000,-2.262403,0.323737,0.324251,-0.006841,0.008917,-0.736700,0.676126,
1724350498.481083,0.000000,-2.262668,0.323143,0.324209,-0.006726,0.009070,-0.735722,0.677190,
1724350498.486635,0.000000,-2.262908,0.322531,0.324179,-0.006564,0.009171,-0.734715,0.678283,
1724350498.492198,0.000000,-2.263192,0.321918,0.324154,-0.006462,0.009153,-0.733669,0.679415,
1724350498.497748,0.000000,-2.263368,0.321457,0.324125,-0.006618,0.009047,-0.732692,0.680468,
1724350498.503311,0.000000,-2.263575,0.321073,0.324152,-0.006844,0.008771,-0.731666,0.681573,
1724350498.508859,0.000000,-2.263744,0.320686,0.324205,-0.007018,0.008637,-0.730768,0.682536,
1724350498.514416,0.000000,-2.263957,0.320369,0.324258,-0.007205,0.008293,-0.729979,0.683381,
1724350498.519976,0.000000,-2.264038,0.319850,0.324284,-0.007283,0.008558,-0.729113,0.684302,
1724350498.525532,0.000000,-2.264189,0.319424,0.324282,-0.007470,0.008489,-0.728196,0.685276,
1724350498.531081,0.000000,-2.264316,0.318915,0.324275,-0.007511,0.008617,-0.727148,0.686386,
1724350498.536644,0.000000,-2.264497,0.318407,0.324263,-0.007481,0.008600,-0.726215,0.687373,
1724350498.542191,0.000000,-2.264740,0.317806,0.324264,-0.007229,0.008646,-0.725368,0.688269,
1724350498.547749,0.000000,-2.264942,0.317250,0.324215,-0.007253,0.008686,-0.724528,0.689153,
